iter	MAE	RMSE
742	1.807579403	3.292180225
743	1.807472786	3.291970318
744	1.807374189	3.291850676
745	1.807392915	3.291719842
746	1.807322804	3.291432757
747	1.807214413	3.29118828
748	1.80706647	3.290960933
749	1.807061253	3.290879529
750	1.80695447	3.290650168
751	1.806767294	3.290305612
752	1.806562269	3.289971471
753	1.806564636	3.289971008
754	1.806471435	3.289859692
755	1.806400965	3.289658858
756	1.806403082	3.289658401
757	1.806312658	3.289553249
758	1.806314666	3.289552793
759	1.80617801	3.289271539
760	1.806100552	3.289143236
761	1.806078946	3.289045489
762	1.805999237	3.288871495
763	1.805952093	3.288778865
764	1.805845968	3.288576647
765	1.805825569	3.288571182
766	1.805699139	3.288239169
767	1.805701274	3.288238727
768	1.80561817	3.288066195
769	1.805475325	3.287796708
770	1.805333317	3.287406427
771	1.805219918	3.287240146
772	1.805204385	3.287231594
773	1.805135132	3.2871121
774	1.805087901	3.287055922
775	1.805089545	3.287055418
776	1.804997188	3.286876408
777	1.805000091	3.286748934
778	1.804869989	3.286430332
779	1.804813604	3.286392041
780	1.804635722	3.286107136
781	1.804549373	3.285991278
782	1.804551366	3.285991085
783	1.804384711	3.285730401
784	1.804227759	3.285367761
785	1.80413091	3.285201604
786	1.803963829	3.285018226
787	1.803902636	3.284913613
788	1.803706519	3.28453036
789	1.803683488	3.284366231
790	1.803643236	3.284191516
791	1.803584685	3.283911427
792	1.803586881	3.283911235
793	1.803412598	3.283776575
794	1.803414271	3.283776171
795	1.803415865	3.283775773
796	1.803298224	3.28352771
797	1.803231759	3.283415068
798	1.803159077	3.283201024
799	1.803094534	3.283086993
800	1.80307977	3.283069876
801	1.803043663	3.282976708
802	1.802973676	3.282811783
803	1.802937379	3.282693328
804	1.802768696	3.282485285
805	1.802613438	3.282204296
806	1.802572626	3.282148148
807	1.802515428	3.282097959
808	1.802460626	3.281971255
809	1.802302386	3.281737605
810	1.802208237	3.281620694
811	1.802155189	3.281522218
812	1.801985687	3.281299735
813	1.801937274	3.281179477
814	1.801933717	3.281173598
815	1.801884724	3.281102164
816	1.801814494	3.28102098
817	1.801739315	3.280867745
818	1.801688941	3.280700101
819	1.80157082	3.280394249
820	1.801480222	3.28016465
821	1.801333391	3.279903024
822	1.801272067	3.279764616
823	1.801243794	3.279681098
824	1.801268302	3.279595046
825	1.801218256	3.279487979
826	1.801105589	3.279327118
827	1.801002423	3.279103328
828	1.800950311	3.279001555
829	1.800786698	3.27877099
830	1.800630486	3.278552887
831	1.800569966	3.278436413
832	1.800572812	3.27843606
833	1.800507539	3.278376707
834	1.800485193	3.278359156
835	1.800439723	3.278310088
836	1.800302369	3.27806868
837	1.80018818	3.277839377
838	1.800190831	3.277838831
839	1.800098041	3.277627854
840	1.800078651	3.277540827
841	1.800054577	3.277462668
842	1.799987221	3.277431036
843	1.79983047	3.277072512
844	1.799700351	3.276853887
845	1.799642058	3.276825895
846	1.799497508	3.276712801
847	1.799432001	3.276450085
848	1.799433097	3.276397602
849	1.799321117	3.276224582
850	1.799237876	3.276115971
851	1.799189466	3.276019044
852	1.799037182	3.275782186
853	1.798938562	3.275641883
854	1.798769236	3.275403441
855	1.798752659	3.275393955
856	1.798578332	3.275238213
857	1.798389559	3.274944133
858	1.798333434	3.274714262
859	1.798286478	3.274688297
860	1.798235991	3.274522189
861	1.798179267	3.27433814
862	1.798090209	3.274141377
863	1.798092328	3.274140865
864	1.798057691	3.273993577
865	1.797960402	3.273882149
866	1.797891255	3.273701209
867	1.797702264	3.27336127
868	1.797590664	3.273180987
869	1.797455896	3.272990115
870	1.797417431	3.272866172
871	1.797188665	3.27250215
872	1.79703612	3.272271461
873	1.796922205	3.271942585
874	1.796784968	3.271754386
875	1.79673592	3.271649042
876	1.796713787	3.271526968
877	1.796649065	3.271267269
878	1.796613714	3.271133515
879	1.796557845	3.271040361
880	1.796560018	3.271039853
881	1.796507327	3.27094327
882	1.796349219	3.270725696
883	1.79623919	3.270519306
884	1.796062557	3.270223049
885	1.79595505	3.270014335
886	1.795798706	3.269810491
887	1.795762766	3.269648016
888	1.795626443	3.26933224
889	1.795521037	3.26915897
890	1.79541461	3.268826542
891	1.795353348	3.26862684
892	1.795309659	3.268603732
893	1.795262806	3.268523583
894	1.795265039	3.268523264
895	1.795222273	3.268479228
896	1.795195236	3.268343175
897	1.79511661	3.268130706
898	1.794980759	3.26785672
899	1.794919787	3.267759976
900	1.794776005	3.267483245
901	1.794610115	3.267142986
902	1.794454712	3.266885248
903	1.794456391	3.266867024
904	1.794441465	3.26676369
905	1.79443983	3.266604659
906	1.794383265	3.266507785
907	1.794369296	3.266458241
908	1.794354475	3.266443628
909	1.794315748	3.266328082
910	1.794257826	3.266173144
911	1.794162826	3.266011942
912	1.79401309	3.265828315
913	1.793933237	3.265618289
914	1.793935728	3.265617993
915	1.793860905	3.2654556
916	1.793812968	3.265345297
917	1.793800293	3.265262025
918	1.793716198	3.265122467
919	1.793641439	3.264864436
920	1.793546616	3.264711978
921	1.793464934	3.264567373
922	1.793424143	3.264442196
923	1.793360456	3.264346195
924	1.793253108	3.264262189
925	1.793190552	3.264112801
926	1.793135944	3.264021425
927	1.793137749	3.264020821
928	1.793139729	3.264020359
929	1.79306861	3.263829714
930	1.793067374	3.263723581
931	1.792928296	3.263582229
932	1.792875862	3.263496953
933	1.79282326	3.263473016
934	1.792680246	3.26310759
935	1.792674564	3.263041556
936	1.792582714	3.262902015
937	1.792511573	3.262844145
938	1.792380507	3.262553352
939	1.792276853	3.262395452
940	1.792279172	3.262395176
941	1.792177179	3.262128954
942	1.79210692	3.261921935
943	1.791964115	3.26173978
944	1.791900308	3.261561124
945	1.791899781	3.261544758
946	1.791833986	3.261439448
947	1.791816796	3.261296014
948	1.791733512	3.261116158
949	1.791735929	3.261115868
950	1.7916474	3.260953892
951	1.791591811	3.26077251
952	1.791453812	3.260595911
953	1.791303507	3.260405338
954	1.791297208	3.260321356
955	1.791256361	3.260248398
956	1.791171231	3.260082241
957	1.791134196	3.259973795
958	1.791056303	3.259786307
959	1.791050322	3.259745265
960	1.79104394	3.259608511
961	1.791046722	3.259608389
962	1.79104912	3.259608149
963	1.790913818	3.259457745
964	1.790870132	3.25939983
965	1.790872571	3.259399597
966	1.790819011	3.259376208
967	1.790681169	3.259238339
968	1.790547228	3.258940882
969	1.790549614	3.258940652
970	1.790551557	3.258940267
971	1.790522621	3.258865812
972	1.790434845	3.258791867
973	1.790377087	3.258637248
974	1.79025033	3.258334673
975	1.790249103	3.258330176
976	1.790195946	3.258282353
977	1.790071009	3.257996064
978	1.790029741	3.257948639
979	1.789948099	3.257754661
980	1.789889475	3.257589252
981	1.789812112	3.257458573
982	1.789749243	3.257328776
983	1.78971972	3.257205155
984	1.789626324	3.257017551
985	1.789450917	3.25669744
986	1.789394005	3.256632913
987	1.789356657	3.256417772
988	1.789222289	3.256289162
989	1.78912844	3.25609536
990	1.789086699	3.256015623
991	1.789028335	3.255910545
992	1.788899162	3.255785558
993	1.788880195	3.255760108
994	1.788796589	3.255631034
995	1.788736265	3.255499921
996	1.788562142	3.255311858
997	1.788519631	3.255243871
